,Max. Freq. (Hz),Rheobase idx,Rheobase (pA),Slow AHP (mV),I at Max. Freq. (pA),Adaptation ratio,Avg Spike Time (s),Sag Amplitude (mV),Input R (MOhm),Capacitance (pF),Resting (mV),RS AHP Amp. (mV),RS Max. Slope (mV/ms),RS Min. Slope (mV/ms),RS Peak (mV),RS Half Width (ms),RS Threshold (mV),LS AHP Amp. (mV),LS Max. Slope (mV/ms),LS Min. Slope (mV/ms),LS Peak (mV),LS Half Width (ms),LS Threshold (mV)
D03,56.0,4.0,80.0,1.263916015625,360.0,1.5442073170731903,0.47322214285714237,-11.68316650390625,249.6342318382243,125.56032516610546,-61.0,-16.17431640625,2258.3006134033203,-1045.227066040039,14.212400436401367,0.6399999999994179,-57.503902435302734,-7.629392623901367,511.1694145202637,-305.1757621765137,-2.8774423599243164,1.3399999999965075,-34.310546875
D04,10.0,5.0,100.0,3.3675575256347656,580.0,34.787965616045916,0.20822999999999992,-1.2175827026367188,224.66079166788188,121.06693243208996,-85.0,-5.798336029052734,2258.3006744384766,-579.8339462280273,25.809078216552734,1.0800000000017462,-52.31591796875,-0.30517578125,442.5048522949219,-267.0288133621216,12.076169967651367,1.7799999999988358,-26.3759765625
D05,5.0,9.0,180.0,0.57257080078125,580.0,2.3478260869565153,0.03102399999999994,-1.66259765625,131.35864196011232,259.3355466425209,-88.0,-1.220703125,2899.169921875,-694.2748565673828,35.574703216552734,1.0800000000017462,-56.893550872802734,-0.6103515625,1152.038558959961,-328.06392097473145,12.991697311401367,1.7000000000116415,-52.0107421875
D06,75.0,1.0,20.0,-6.232170104980469,520.0,1.2548638132295498,0.48714186666666626,-12.132987976074219,214.22594859860826,131.59522065886915,-68.0,-19.83642578125,2494.8118286132812,-1419.0673370361328,16.65380859375,0.5599999999985812,-58.419429779052734,-9.155269622802734,1113.8915786743164,-534.0575981140137,-2.8774423599243164,0.8799999999755528,-51.09521484375
D07,74.0,3.0,60.0,-3.5308876037597656,520.0,1.1247637051039472,0.49561027027027027,-11.42816162109375,193.94566812513125,88.06602123895193,-70.0,-20.141605377197266,3425.5980072021484,-1831.0546264648438,28.250484466552734,0.47999999999956344,-60.555660247802734,-11.901851654052734,1838.6840515136719,-900.2685394287109,8.719236373901367,0.6600000000034925,-53.2314453125
D08,24.0,5.0,100.0,2.182079315185547,180.0,1.7548106765983797,0.4688716666666668,-8.6763916015625,122.52736480175031,188.7843595789486,-59.0,-14.34326171875,2830.5052490234375,-1083.3740844726562,30.081539154052734,0.7000000000043656,-57.198726654052734,-14.343257904052734,1953.1248779296875,-740.0512084960938,20.92626953125,0.8400000000037835,-51.70556640625
D09,36.0,1.0,20.0,-3.4581222534179688,140.0,2.0427046263345625,0.3741205555555558,-12.64031982421875,243.52568184200635,32.59174656241831,-61.0,-13.73291015625,2632.1410217285156,-1731.8725891113281,30.997066497802734,0.5799999999999272,-59.640132904052734,-12.512203216552734,679.0160751342773,-640.869068145752,1.39501953125,1.2400000000052387,-51.09521484375
D10,81.0,4.0,80.0,-2.5294265747070312,460.0,1.1170731707317185,0.46964098765432105,-8.943351745605469,174.8457981971935,101.47541877657666,-67.0,-26.2451171875,2563.4763946533203,-1426.6967315673828,16.958984375,0.5199999999967986,-54.4521484375,-21.972652435302734,1335.143943786621,-930.7860565185547,2.310546875,0.7600000000093132,-48.65380859375
D11,79.0,8.0,160.0,-6.44134521484375,520.0,1.5875000000000181,0.4623908860759496,-9.944091796875,88.22840640220508,162.80695282326025,-61.0,-11.29150390625,3120.4222869873047,-1617.4316101074219,13.296873092651367,0.47999999999592546,-64.828125,-8.239742279052734,1327.5145645141602,-640.8690719604492,-5.624024391174316,0.7400000000197906,-53.841796875
D12,106.0,2.0,40.0,-2.9078369140625,300.0,0.9813278008298455,0.49529226415094296,-26.63988494873047,267.84218846616056,68.90115706852986,-63.0,-21.057125091552734,2357.4827575683594,-1480.1024932861328,18.7900390625,0.5399999999990541,-55.97802734375,-10.375972747802734,976.5624847412109,-564.5751571655273,-2.5722665786743164,0.9799999999959255,-52.0107421875
